NOM,PAYS,ETOILE,CONFORT,CHAMBRE,CUISINE,SPORT,PLAGE,PRIX
Appolpon,Grece,1,4,56,2,0,8,390
Caravel,Grece,4,7,471,7,6,5,468
Christina,Grece,2,7,93,3,0,5,427
Economy,Grece,1,3,56,1,0,8,369
EdenBeach,Grece,1,4,286,3,4,7,499
HanikianBeach,Grece,3,6,282,5,10,10,526
MarinaBeach,Grece,3,6,310,7,7,10,587
Xenia,Grece,3,4,300,6,10,8,534
Agdal,Maroc,4,5,146,5,1,0,447
Almohades,Maroc,4,6,250,8,0,3,482
Atlas,Maroc,4,5,196,9,6,6,511
AtlasArnadi,Maroc,4,7,324,10,6,5,532
Chems,Maroc,4,5,138,3,2,0,450
Dunesdor,Maroc,3,4,400,10,10,10,569
LaResidence,Maroc,0,5,366,7,4,10,419
MDiq,Maroc,0,3,300,5,7,10,421
Omayades,Maroc,4,6,144,7,4,8,579
Sahara,Maroc,5,7,330,10,5,5,598
SudBahia,Maroc,4,5,260,5,2,6,495
TourHassan,Maroc,5,7,170,10,1,10,730
AlfaMar,Portugal,4,6,254,7,10,8,646
AppDoMar,Portugal,4,8,140,7,6,10,652
DeLagos,Portugal,4,6,273,10,10,10,802
Madeira,Portugal,5,7,260,10,8,10,761
Reids,Portugal,5,7,169,10,10,10,1101
AbouSofiane,Tunisie,3,4,225,5,10,10,434
Asdrubal,Tunisie,4,4,225,7,6,10,489
Colombes,Tunisie,3,5,250,9,10,8,436
Darnaour,Tunisie,2,3,550,6,9,8,399
Djerba,Tunisie,3,6,800,10,10,10,477
Mimosa,Tunisie,2,4,150,5,6,4,375
Omarit,Tunisie,3,5,425,7,7,8,486
Orangers,Tunisie,3,4,366,5,8,8,447
Penelope,Tunisie,0,5,200,5,10,7,473
Ulysse,Tunisie,4,4,130,8,7,10,495
DauphinOr,Turquie,3,4,500,8,10,10,617
Hippocampe,Turquie,1,2,50,1,5,10,489
KuriatPalace,Turquie,4,9,232,10,10,10,520
Sultan,Turquie,0,3,110,7,6,8,534
